Applicant_ID,Age,Gender,Race/Ethnicity,Sexual_Orientation,Religion,Marital_Status,Socioeconomic_Status,Education_Level,Years_of_Experience,Industry,Job_Position_Applied_For,Application_Status,Salary_Offer,Interview_Feedback_Score,Referral_Status
0001,58,Male,Asian,LGBTQ+,Muslim,Married,Low,High School,17,Tech,Executive,Accepted,37811.0,2,Yes
0002,32,Male,Native American,Heterosexual,Other,Widowed,Low,Ph.D.,37,Healthcare,Entry-Level,Accepted,140785.0,6,No
0003,27,Female,Other,LGBTQ+,Christian,Single,Middle,High School,11,Healthcare,Senior-Level,Accepted,150435.0,9,Yes
0004,42,Male,Native American,LGBTQ+,Other,Divorced,High,Bachelor's,4,Tech,Mid-Level,Rejected,,2,Yes
0005,24,Prefer not to say,Hispanic,LGBTQ+,Other,Divorced,Low,Master's,22,Finance,Senior-Level,Accepted,189680.0,3,Yes
0006,28,Prefer not to say,White,LGBTQ+,Other,Married,High,Master's,3,Finance,Entry-Level,Rejected,,7,No
0007,22,Female,Native American,LGBTQ+,Muslim,Widowed,Middle,Ph.D.,9,Healthcare,Mid-Level,Accepted,177159.0,9,No
0008,65,Prefer not to say,Native American,LGBTQ+,Hindu,Married,Low,Ph.D.,5,Tech,Entry-Level,Accepted,194481.0,3,No
0009,56,Male,White,LGBTQ+,Non-religious,Widowed,High,Master's,35,Tech,Entry-Level,Rejected,,6,Yes
0010,36,Prefer not to say,Black,LGBTQ+,Christian,Divorced,High,Bachelor's,32,Tech,Senior-Level,Accepted,70065.0,6,Yes
0011,52,Male,Native American,LGBTQ+,Jewish,Single,Low,Master's,19,Finance,Entry-Level,Accepted,178729.0,2,Yes
0012,64,Prefer not to say,Other,Heterosexual,Non-religious,Married,Low,Ph.D.,35,Finance,Senior-Level,Rejected,,4,Yes
0013,63,Non-Binary,White,LGBTQ+,Jewish,Widowed,Low,Bachelor's,14,Tech,Senior-Level,Accepted,184221.0,9,Yes
0014,55,Female,Asian,Heterosexual,Other,Single,Low,High School,1,Healthcare,Entry-Level,Accepted,103001.0,8,Yes
0015,52,Female,Mixed,LGBTQ+,Muslim,Widowed,Middle,Bachelor's,6,Tech,Executive,Rejected,,7,No
0016,47,Male,Mixed,Heterosexual,Christian,Widowed,High,Master's,6,Finance,Mid-Level,Accepted,170584.0,8,Yes
0017,45,Female,Hispanic,LGBTQ+,Muslim,Single,Middle,High School,1,Retail,Entry-Level,Accepted,91965.0,3,No
0018,49,Prefer not to say,Black,LGBTQ+,Christian,Married,Middle,High School,12,Healthcare,Executive,Rejected,,7,No
0019,27,Female,Hispanic,Heterosexual,Christian,Single,High,Master's,3,Tech,Executive,Accepted,44910.0,9,Yes
0020,29,Male,Native American,Heterosexual,Other,Married,Middle,High School,18,Finance,Entry-Level,Accepted,139897.0,10,No
0021,34,Female,Mixed,LGBTQ+,Muslim,Divorced,Middle,Bachelor's,19,Education,Senior-Level,Accepted,32441.0,8,Yes
0022,22,Female,Native American,LGBTQ+,Muslim,Divorced,Low,Bachelor's,23,Healthcare,Mid-Level,Rejected,,9,No
0023,57,Male,Mixed,LGBTQ+,Other,Single,Low,Master's,7,Tech,Mid-Level,Rejected,,5,Yes
0024,63,Non-Binary,Black,LGBTQ+,Non-religious,Widowed,Middle,High School,2,Retail,Executive,Rejected,,1,Yes
0025,39,Female,Mixed,LGBTQ+,Muslim,Widowed,High,Ph.D.,35,Tech,Entry-Level,Accepted,69073.0,9,Yes
0026,41,Female,White,Heterosexual,Christian,Divorced,Middle,High School,11,Finance,Mid-Level,Accepted,122714.0,9,No
0027,57,Female,Black,Heterosexual,Muslim,Widowed,Low,Bachelor's,21,Education,Mid-Level,Rejected,,3,Yes
0028,42,Male,Other,LGBTQ+,Muslim,Married,Middle,Master's,19,Finance,Mid-Level,Accepted,80627.0,7,No
0029,35,Male,Other,LGBTQ+,Hindu,Widowed,High,Master's,1,Tech,Senior-Level,Accepted,182198.0,5,Yes
0030,24,Prefer not to say,Hispanic,LGBTQ+,Jewish,Single,Middle,Bachelor's,16,Tech,Executive,Accepted,166293.0,9,Yes
0031,41,Prefer not to say,Asian,LGBTQ+,Non-religious,Divorced,High,High School,9,Manufacturing,Senior-Level,Rejected,,6,No
0032,62,Non-Binary,Native American,Heterosexual,Muslim,Widowed,High,Ph.D.,11,Manufacturing,Senior-Level,Rejected,,9,Yes
